#t,ESS,tempDiff,temp
0,200.00000000000065,0.0,0.0
1,199.99999999999986,5.507068873606161E-13,5.507068873606161E-13
2,200.0000000000001,3.854948211524313E-12,4.405655098884929E-12
3,200.0000000000005,1.0463430859851705E-11,1.4869085958736633E-11
4,199.99999999999991,2.03761548323428E-11,3.524524079107943E-11
5,200.00000000000017,3.3593120128997584E-11,6.883836092007702E-11
6,200.00000000000003,5.011432674981605E-11,1.1895268766989307E-10
7,199.99999999999991,6.993977469479824E-11,1.888924623646913E-10
8,200.0000000000001,9.306946396394415E-11,2.8196192632863546E-10
9,199.99999999999972,1.1950339455725367E-10,4.0146532088588913E-10
10,199.99999999999918,1.49241566474727E-10,5.507068873606161E-10
11,199.99999999999875,1.8228397971636386E-10,7.3299086707698E-10
12,199.99999999999812,2.1863063428216453E-10,9.516215013591445E-10
13,199.99999999999662,2.582815301721293E-10,1.2099030315312738E-9
14,199.99999999999477,3.0123666738625665E-10,1.5111396989175305E-9
15,199.99999999999199,3.4749604592454923E-10,1.8586357448420797E-9
16,199.9999999999881,3.9705966578700396E-10,2.2556954106290837E-9
17,199.99999999998326,4.4992752697362394E-10,2.7056229376027076E-9
18,199.9999999999766,5.060996294844054E-10,3.211722567087113E-9
19,199.99999999996703,5.655759733193534E-10,3.7772985404064665E-9
20,199.99999999995487,6.283565584784625E-10,4.405655098884929E-9
21,199.99999999993983,6.944413849617377E-10,5.100096483846667E-9
22,199.9999999999208,7.638304527691732E-10,5.86392693661584E-9
23,199.99999999989646,8.365237619007772E-10,6.700450698516617E-9
24,199.9999999998664,9.12521312356539E-10,7.612972010873156E-9
25,199.99999999982919,9.91823104136472E-10,8.604795115009628E-9
26,199.99999999978422,1.0744291372405626E-9,9.67922425225019E-9
27,199.9999999997303,1.1603394116688144E-9,1.0839563663919005E-8
28,199.99999999966394,1.2495539274212388E-9,1.2089117591340244E-8
29,199.99999999958712,1.3420726844978244E-9,1.3431190275838068E-8
30,199.99999999949725,1.4378956828985694E-9,1.4869085958736638E-8
31,199.99999999938947,1.537022922623474E-9,1.6406108881360112E-8
32,199.9999999992653,1.6394544036725578E-9,1.804556328503267E-8
33,199.99999999912248,1.7451901260457928E-9,1.9790753411078462E-8
34,199.99999999895502,1.8542300897431988E-9,2.164498350082166E-8
35,199.99999999876616,1.9665742947647494E-9,2.361155779558641E-8
36,199.99999999854492,2.082222741110494E-9,2.5693780536696905E-8
37,199.99999999829538,2.2011754287803836E-9,2.7894955965477288E-8
38,199.99999999800536,2.323432357774444E-9,3.021838832325173E-8
39,199.99999999767755,2.448993528092649E-9,3.266738185134438E-8
40,199.99999999730673,2.5778589397350514E-9,3.524524079107943E-8
41,199.99999999688634,2.710028592701595E-9,3.795526938378103E-8
42,199.99999999642012,2.8455024869923066E-9,4.0800771870773334E-8
43,199.99999999588752,2.984280622607166E-9,4.37850524933805E-8
44,199.999999995309,3.1263629995462195E-9,4.691141549292672E-8
45,199.9999999946587,3.2717496178094276E-9,5.018316511073615E-8
46,199.99999999395595,3.42044047739679E-9,5.360360558813294E-8
47,199.9999999931765,3.5724355783083005E-9,5.717604116644124E-8
48,199.99999999230718,3.727734920544012E-9,6.090377608698525E-8
49,199.99999999134482,3.886338504103858E-9,6.479011459108911E-8
50,199.99999999024325,4.0482463289879176E-9,6.883836092007703E-8
51,199.99999998899708,4.213458395196053E-9,7.305181931527308E-8
52,199.9999999876287,4.381974702728448E-9,7.743379401800153E-8
53,199.99999998609323,4.5537952515849184E-9,8.198758926958644E-8
54,199.99999998445185,4.728920041765596E-9,8.671650931135204E-8
55,199.99999998264215,4.907349073270482E-9,9.162385838462252E-8
56,199.99999998068876,5.089082346099429E-9,9.671294073072195E-8
57,199.99999997858544,5.274119860252597E-9,1.0198706059097455E-7
58,199.9999999763188,5.4624616157299985E-9,1.0744952220670455E-7
59,199.99999997387644,5.654107612531422E-9,1.1310362981923597E-7
60,199.99999997124877,5.849057850657133E-9,1.189526876698931E-7
61,199.99999996838224,6.047312330106919E-9,1.2500000000000002E-7
62,199.99999996526785,6.2488710508808726E-9,1.312488710508809E-7
63,199.99999996180446,6.453734012979113E-9,1.3770260506386E-7
64,199.99999995808415,6.661901216401349E-9,1.4436450628026136E-7
65,199.9999999540801,6.873372661147819E-9,1.5123787894140917E-7
66,199.99999994974874,7.088148347218523E-9,1.583260272886277E-7
67,199.99999994503588,7.3062282746132755E-9,1.6563225556324097E-7
68,199.99999993994737,7.527612443332315E-9,1.731598680065733E-7
69,199.99999993421096,7.75230085337535E-9,1.8091216885994864E-7
70,199.99999992818692,7.980293504742645E-9,1.8889246236469128E-7
71,199.9999999215814,8.211590397434201E-9,1.9710405276212548E-7
72,199.9999999145334,8.446191531449752E-9,2.0555024429357524E-7
73,199.99999990693667,8.684096906789511E-9,2.1423434120036475E-7
74,199.99999989853265,8.925306523453557E-9,2.231596477238183E-7
75,199.99999988968506,9.169820381441598E-9,2.323294681052599E-7
76,199.9999998803517,9.417638480753953E-9,2.4174710658601386E-7
77,199.99999987027033,9.668760821390304E-9,2.5141586740740416E-7
78,199.9999998592662,9.923187403350888E-9,2.6133905481075505E-7
79,199.99999984751855,1.0180918226635786E-8,2.7151997303739083E-7
80,199.99999983489664,1.0441953291244626E-8,2.8196192632863546E-7
81,199.9999998214442,1.0706292597177674E-8,2.9266821892581313E-7
82,199.99999980731673,1.0973936144435088E-8,3.036421550702482E-7
83,199.99999979228036,1.1244883933016339E-8,3.1488703900326456E-7
84,199.99999977619026,1.1519135962922115E-8,3.264061749661867E-7
85,199.99999975938647,1.1796692234151674E-8,3.3820286720033835E-7
86,199.99999974126922,1.2077552746705654E-8,3.50280419947044E-7
87,199.999999721874,1.236171750058384E-8,3.6264213744762784E-7
88,199.99999970165777,1.2649186495785916E-8,3.7529132394341376E-7
89,199.99999968012912,1.2939959732312359E-8,3.882312836757261E-7
90,199.9999996568589,1.3234037210163062E-8,4.014653208858892E-7
91,199.99999963156893,1.3531418929337602E-8,4.149967398152268E-7
92,199.99999960426214,1.383210488983672E-8,4.288288447050635E-7
93,199.99999957600735,1.4136095091659568E-8,4.4296493979672307E-7
94,199.99999954646063,1.4443389534806836E-8,4.574083293315299E-7
95,199.99999951398186,1.4753988219278365E-8,4.7216231755080827E-7
96,199.99999947945227,1.506789114507373E-8,4.87230208695882E-7
97,199.99999944252494,1.5385098312193514E-8,5.026153070080755E-7
98,199.99999940423015,1.5705609720637347E-8,5.183209167287129E-7
99,199.9999993634625,1.6029425370405758E-8,5.343503420991186E-7
100,199.99999932012287,1.6356545261497582E-8,5.507068873606162E-7
101,199.9999992751061,1.6686969393913985E-8,5.673938567545302E-7
102,199.99999922834053,1.7020697767654436E-8,5.844145545221846E-7
103,199.99999917950436,1.7357730382719147E-8,6.017722849049038E-7
104,199.99999912827045,1.7698067239108437E-8,6.194703521440122E-7
105,199.99999907401286,1.804170833682114E-8,6.375120604808333E-7
106,199.99999901896024,1.8388653675858208E-8,6.559007141566916E-7
107,199.99999896194507,1.8738903256219643E-8,6.746396174129112E-7
108,199.9999989009825,1.9092457077905127E-8,6.937320744908163E-7
109,199.99999883690978,1.9449315140914766E-8,7.131813896317311E-7
110,199.99999876829426,1.9809477445249088E-8,7.329908670769802E-7
111,199.99999869494016,2.0172943990906612E-8,7.531638110678868E-7
112,199.99999861868113,2.053971477788882E-8,7.737035258457756E-7
113,199.99999853775398,2.090978980619518E-8,7.946133156519708E-7
114,199.99999845193955,2.1283169075825592E-8,8.158964847277964E-7
115,199.9999983642774,2.1659852586780793E-8,8.375563373145772E-7
116,199.99999827315304,2.2039840339059195E-8,8.595961776536364E-7
117,199.9999981786332,2.242313233266207E-8,8.820193099862984E-7
118,199.9999980804285,2.280972856758931E-8,9.048290385538877E-7
119,199.99999797887665,2.3199629043840493E-8,9.280286675977282E-7
120,199.9999978720726,2.3592833761416572E-8,9.516215013591448E-7
121,199.99999776471716,2.3989342720315747E-8,9.756108440794606E-7
122,199.99999765284485,2.4389155920539605E-8,1.0000000000000002E-6
123,199.99999753821737,2.47922733620873E-8,1.0247922733620875E-6
124,199.99999741627448,2.519869504495968E-8,1.0499909684070471E-6
125,199.9999972880203,2.5608420969155896E-8,1.075599389376203E-6
126,199.99999715659806,2.6021451134677008E-8,1.10162084051088E-6
127,199.99999702071398,2.6437785541520898E-8,1.128058626052401E-6
128,199.99999687728723,2.6857424189689895E-8,1.1549160502420908E-6
129,199.99999672755217,2.728036707918273E-8,1.1821964173212736E-6
130,199.9999965724851,2.7706614209999823E-8,1.2099030315312734E-6
131,199.999996406859,2.8136165582141602E-8,1.238039197113415E-6
132,199.99999623214953,2.8569021195606582E-8,1.2666082183090216E-6
133,199.99999604968053,2.9005181050396246E-8,1.2956133993594178E-6
134,199.9999958582677,2.9444645146509958E-8,1.3250580445059278E-6
135,199.99999566248442,2.988741348394772E-8,1.3549454579898755E-6
136,199.99999546285486,3.03334860627108E-8,1.3852789440525863E-6
137,199.99999525456516,3.0782862882796234E-8,1.4160618069353825E-6
138,199.99999503788948,3.1235543944206565E-8,1.447297350879589E-6
139,199.999994814118,3.169152924694137E-8,1.4789888801265305E-6
140,199.99999458815105,3.2150818790999795E-8,1.5111396989175303E-6
141,199.99999435190819,3.261341257638312E-8,1.5437531114939134E-6
142,199.99999411094333,3.307931060309049E-8,1.5768324220970039E-6
143,199.99999385470917,3.3548512871121275E-8,1.6103809349681251E-6
144,199.9999935903845,3.4021019380476744E-8,1.6444019543486019E-6
145,199.99999331540926,3.449683013115626E-8,1.6788987844797582E-6
146,199.99999303088106,3.497594512315983E-8,1.713874729602918E-6
147,199.999992730644,3.5458364356488714E-8,1.7493330939594067E-6
148,199.9999924211336,3.594408783113974E-8,1.7852771817905464E-6
149,199.9999921092246,3.64331155471163E-8,1.8217102973376627E-6
150,199.999991781073,3.6925447504416486E-8,1.8586357448420792E-6
151,199.9999914417169,3.742108370304114E-8,1.8960568285451204E-6
152,199.9999910899175,3.792002414299048E-8,1.933976852688111E-6
153,199.99999072013603,3.842226882426281E-8,1.9723991215123737E-6
154,199.99999034081017,3.8927817746859616E-8,2.0113269392592333E-6
155,199.99998995185373,3.943667091078089E-8,2.050763610170014E-6
156,199.9999895518794,3.994882831602621E-8,2.0907124384860404E-6
157,199.99998913816913,4.046428996259601E-8,2.1311767284486364E-6
158,199.99998872559064,4.0983055850490276E-8,2.1721597842991267E-6
159,199.99998829285988,4.150512597970732E-8,2.213664910278834E-6
160,199.9999878438093,4.2030500350249686E-8,2.2556954106290837E-6
161,199.99998737691033,4.255917896211525E-8,2.298254589591199E-6
162,199.99998690780203,4.309116181530614E-8,2.341345751406505E-6
163,199.99998643220303,4.3626448909821495E-8,2.3849722003163266E-6
164,199.99998594624483,4.416504024565921E-8,2.4291372405619858E-6
165,199.9999854431331,4.4706935822821814E-8,2.4738441763848076E-6
166,199.99998492091026,4.5252135641308894E-8,2.5190963120261165E-6
167,199.9999843890623,4.5800639701120446E-8,2.564896951727237E-6
168,199.99998384280778,4.635244800225647E-8,2.6112493997294934E-6
169,199.9999832813625,4.690756054471485E-8,2.6581569602742082E-6
170,199.9999826951988,4.7465977328498547E-8,2.7056229376027068E-6
171,199.99998208540083,4.8027698353606717E-8,2.7536506359563135E-6
172,199.99998146937367,4.859272362003851E-8,2.802243359576352E-6
173,199.99998084491213,4.9161053127794355E-8,2.8514044127041464E-6
174,199.9999802002479,4.9732686876876365E-8,2.9011370995810227E-6
175,199.99997953213582,5.030762486727946E-8,2.951444724448302E-6
176,199.9999788472509,5.088586709900787E-8,3.00233059154731E-6
177,199.99997815229892,5.146741357206076E-8,3.053798005119371E-6
178,199.9999774365767,5.2052264286438114E-8,3.105850269405809E-6
179,199.99997670903292,5.2640419242139944E-8,3.158490688647949E-6
180,199.9999759761381,5.323187843916455E-8,3.2117225670871134E-6
181,199.99997524378622,5.382664187751363E-8,3.265549208964627E-6
182,199.9999744827865,5.442470955718718E-8,3.3199739185218142E-6
183,199.9999737023223,5.5026081478185206E-8,3.3749999999999995E-6
184,199.99997288920497,5.563075764050855E-8,3.430630757640508E-6
185,199.99997206162348,5.62387380441534E-8,3.4868694956846614E-6
186,199.99997123625238,5.6850022689123146E-8,3.5437195183737845E-6
187,199.99997037826233,5.746461157541821E-8,3.6011841299492028E-6
188,199.9999695099773,5.808250470303648E-8,3.6592666346522392E-6
189,199.99996863339098,5.870370207197922E-8,3.7179703367242185E-6
190,199.99996771856755,5.93282036822477E-8,3.777298540406466E-6
191,199.99996677371263,5.995600953383769E-8,3.837254549940304E-6
192,199.99996579327077,6.058711962675215E-8,3.897841669567056E-6
193,199.99996483166285,6.122153396099235E-8,3.959063203528048E-6
194,199.99996383866065,6.185925253655576E-8,4.020922456064604E-6
195,199.9999628281165,6.250027535344321E-8,4.083422731418047E-6
196,199.9999617916006,6.314460241165556E-8,4.146567333829703E-6
197,199.99996074801234,6.379223371119111E-8,4.210359567540894E-6
198,199.99995967693002,6.444316925205495E-8,4.274802736792949E-6
199,199.9999585853933,6.509740903423606E-8,4.339900145827185E-6
200,199.99995744516798,6.57549530577446E-8,4.40565509888493E-6
201,199.99995627299515,6.64158013225772E-8,4.472070900207507E-6
202,199.99995506578765,6.707995382873468E-8,4.5391508540362415E-6
203,199.99995386416074,6.774741057621537E-8,4.606898264612457E-6
204,199.9999526413129,6.841817156502011E-8,4.675316436177477E-6
205,199.99995137681617,6.909223679514975E-8,4.744408672972627E-6
206,199.9999500793445,6.976960626660343E-8,4.81417827923923E-6
207,199.99994878236595,7.045027997938201E-8,4.884628559218612E-6
208,199.99994742409675,7.113425793348548E-8,4.955762817152098E-6
209,199.9999460150779,7.182154012890962E-8,5.027584357281007E-6
210,199.99994449598242,7.25121265656595E-8,5.100096483846667E-6
211,199.99994294010202,7.320601724373342E-8,5.1733025010904E-6
212,199.99994138385415,7.390321216313224E-8,5.247205713253532E-6
213,199.99993979964728,7.460371132385511E-8,5.3218094245773875E-6
214,199.9999381865435,7.530751472590203E-8,5.3971169393032896E-6
215,199.99993657230166,7.6014622369273E-8,5.4731315616725626E-6
216,199.99993487387283,7.672503425396802E-8,5.549856595926531E-6
217,199.99993321934195,7.743875037998708E-8,5.627295346306518E-6
218,199.9999315398327,7.815577074733104E-8,5.705451117053849E-6
219,199.99992980182466,7.887609535600244E-8,5.784327212409851E-6
220,199.99992800483827,7.959972420599026E-8,5.863926936615841E-6
221,199.99992616314546,8.032665729730637E-8,5.944253593913148E-6
222,199.99992423387295,8.105689462994652E-8,6.025310488543094E-6
