#t,ESS,tempDiff,temp
0,200.00000000000065,0.0,0.0
1,200.0000000000002,5.507068873606161E-13,5.507068873606161E-13
2,199.99999999999997,3.854948211524313E-12,4.405655098884929E-12
3,199.99999999999997,1.0463430859851705E-11,1.4869085958736633E-11
4,200.00000000000028,2.03761548323428E-11,3.524524079107943E-11
5,199.99999999999991,3.3593120128997584E-11,6.883836092007702E-11
6,200.00000000000023,5.011432674981605E-11,1.1895268766989307E-10
7,199.9999999999999,6.993977469479824E-11,1.888924623646913E-10
8,199.99999999999974,9.306946396394415E-11,2.8196192632863546E-10
9,199.9999999999993,1.1950339455725367E-10,4.0146532088588913E-10
10,199.99999999999875,1.49241566474727E-10,5.507068873606161E-10
11,199.99999999999756,1.8228397971636386E-10,7.3299086707698E-10
12,199.99999999999588,2.1863063428216453E-10,9.516215013591445E-10
13,199.99999999999343,2.582815301721293E-10,1.2099030315312738E-9
14,199.99999999998997,3.0123666738625665E-10,1.5111396989175305E-9
15,199.9999999999849,3.4749604592454923E-10,1.8586357448420797E-9
16,199.99999999997758,3.9705966578700396E-10,2.2556954106290837E-9
17,199.9999999999676,4.4992752697362394E-10,2.7056229376027076E-9
18,199.99999999995535,5.060996294844054E-10,3.211722567087113E-9
19,199.99999999993835,5.655759733193534E-10,3.7772985404064665E-9
20,199.9999999999164,6.283565584784625E-10,4.405655098884929E-9
21,199.9999999998884,6.944413849617377E-10,5.100096483846667E-9
22,199.99999999985175,7.638304527691732E-10,5.86392693661584E-9
23,199.99999999980662,8.365237619007772E-10,6.700450698516617E-9
24,199.9999999997509,9.12521312356539E-10,7.612972010873156E-9
25,199.99999999968222,9.91823104136472E-10,8.604795115009628E-9
26,199.99999999959954,1.0744291372405626E-9,9.67922425225019E-9
27,199.99999999949839,1.1603394116688144E-9,1.0839563663919005E-8
28,199.99999999937563,1.2495539274212388E-9,1.2089117591340244E-8
29,199.99999999922878,1.3420726844978244E-9,1.3431190275838068E-8
30,199.99999999905677,1.4378956828985694E-9,1.4869085958736638E-8
31,199.99999999885372,1.537022922623474E-9,1.6406108881360112E-8
32,199.99999999861464,1.6394544036725578E-9,1.804556328503267E-8
33,199.9999999983402,1.7451901260457928E-9,1.9790753411078462E-8
34,199.99999999801744,1.8542300897431988E-9,2.164498350082166E-8
35,199.99999999765126,1.9665742947647494E-9,2.361155779558641E-8
36,199.99999999723548,2.082222741110494E-9,2.5693780536696905E-8
37,199.99999999676086,2.2011754287803836E-9,2.7894955965477288E-8
38,199.99999999621932,2.323432357774444E-9,3.021838832325173E-8
39,199.99999999561388,2.448993528092649E-9,3.266738185134438E-8
40,199.99999999493713,2.5778589397350514E-9,3.524524079107943E-8
41,199.99999999416733,2.710028592701595E-9,3.795526938378103E-8
42,199.99999999329913,2.8455024869923066E-9,4.0800771870773334E-8
43,199.99999999234544,2.984280622607166E-9,4.37850524933805E-8
44,199.99999999126948,3.1263629995462195E-9,4.691141549292672E-8
45,199.99999999005757,3.2717496178094276E-9,5.018316511073615E-8
46,199.99999998871542,3.42044047739679E-9,5.360360558813294E-8
47,199.9999999872442,3.5724355783083005E-9,5.717604116644124E-8
48,199.99999998563501,3.727734920544012E-9,6.090377608698525E-8
49,199.99999998389544,3.886338504103858E-9,6.479011459108911E-8
50,199.99999998201557,4.0482463289879176E-9,6.883836092007703E-8
51,199.9999999799516,4.213458395196053E-9,7.305181931527308E-8
52,199.99999997767304,4.381974702728448E-9,7.743379401800153E-8
53,199.99999997512077,4.5537952515849184E-9,8.198758926958644E-8
54,199.99999997223074,4.728920041765596E-9,8.671650931135204E-8
55,199.9999999691452,4.907349073270482E-9,9.162385838462252E-8
56,199.9999999657069,5.089082346099429E-9,9.671294073072195E-8
57,199.9999999620154,5.274119860252597E-9,1.0198706059097455E-7
58,199.99999995803213,5.4624616157299985E-9,1.0744952220670455E-7
59,199.9999999537098,5.654107612531422E-9,1.1310362981923597E-7
60,199.99999994901572,5.849057850657133E-9,1.189526876698931E-7
61,199.99999994393815,6.047312330106919E-9,1.2500000000000002E-7
62,199.99999993840643,6.2488710508808726E-9,1.312488710508809E-7
63,199.99999993246865,6.453734012979113E-9,1.3770260506386E-7
64,199.9999999259254,6.661901216401349E-9,1.4436450628026136E-7
65,199.99999991884545,6.873372661147819E-9,1.5123787894140917E-7
66,199.99999991120208,7.088148347218523E-9,1.583260272886277E-7
67,199.99999990293387,7.3062282746132755E-9,1.6563225556324097E-7
68,199.99999989401633,7.527612443332315E-9,1.731598680065733E-7
69,199.99999988425193,7.75230085337535E-9,1.8091216885994864E-7
70,199.99999987371655,7.980293504742645E-9,1.8889246236469128E-7
71,199.99999986222704,8.211590397434201E-9,1.9710405276212548E-7
72,199.99999984956912,8.446191531449752E-9,2.0555024429357524E-7
73,199.99999983607378,8.684096906789511E-9,2.1423434120036475E-7
74,199.99999982171477,8.925306523453557E-9,2.231596477238183E-7
75,199.99999980636267,9.169820381441598E-9,2.323294681052599E-7
76,199.99999978985602,9.417638480753953E-9,2.4174710658601386E-7
77,199.9999997726741,9.668760821390304E-9,2.5141586740740416E-7
78,199.99999975439658,9.923187403350888E-9,2.6133905481075505E-7
79,199.99999973479711,1.0180918226635786E-8,2.7151997303739083E-7
80,199.99999971337726,1.0441953291244626E-8,2.8196192632863546E-7
81,199.9999996904051,1.0706292597177674E-8,2.9266821892581313E-7
82,199.99999966617716,1.0973936144435088E-8,3.036421550702482E-7
83,199.99999964009658,1.1244883933016339E-8,3.1488703900326456E-7
84,199.99999961232348,1.1519135962922115E-8,3.264061749661867E-7
85,199.99999958246988,1.1796692234151674E-8,3.3820286720033835E-7
86,199.99999955106227,1.2077552746705654E-8,3.50280419947044E-7
87,199.99999951738351,1.236171750058384E-8,3.6264213744762784E-7
88,199.99999948141007,1.2649186495785916E-8,3.7529132394341376E-7
89,199.99999944313913,1.2939959732312359E-8,3.882312836757261E-7
90,199.99999940305452,1.3234037210163062E-8,4.014653208858892E-7
91,199.99999936081804,1.3531418929337602E-8,4.149967398152268E-7
92,199.99999931648185,1.383210488983672E-8,4.288288447050635E-7
93,199.9999992696036,1.4136095091659568E-8,4.4296493979672307E-7
94,199.99999922054647,1.4443389534806836E-8,4.574083293315299E-7
95,199.99999916880245,1.4753988219278365E-8,4.7216231755080827E-7
96,199.99999911425277,1.506789114507373E-8,4.87230208695882E-7
97,199.99999905670919,1.5385098312193514E-8,5.026153070080755E-7
98,199.99999899444364,1.5705609720637347E-8,5.183209167287129E-7
99,199.99999892813835,1.6029425370405758E-8,5.343503420991186E-7
100,199.9999988588932,1.6356545261497582E-8,5.507068873606162E-7
101,199.99999878443975,1.6686969393913985E-8,5.673938567545302E-7
102,199.9999987059924,1.7020697767654436E-8,5.844145545221846E-7
103,199.99999862299757,1.7357730382719147E-8,6.017722849049038E-7
104,199.99999853671548,1.7698067239108437E-8,6.194703521440122E-7
105,199.99999844790577,1.804170833682114E-8,6.375120604808333E-7
106,199.99999835458974,1.8388653675858208E-8,6.559007141566916E-7
107,199.9999982557059,1.8738903256219643E-8,6.746396174129112E-7
108,199.999998150397,1.9092457077905127E-8,6.937320744908163E-7
109,199.99999804177367,1.9449315140914766E-8,7.131813896317311E-7
110,199.999997929235,1.9809477445249088E-8,7.329908670769802E-7
111,199.9999978151091,2.0172943990906612E-8,7.531638110678868E-7
112,199.9999976936981,2.053971477788882E-8,7.737035258457756E-7
113,199.9999975693692,2.090978980619518E-8,7.946133156519708E-7
114,199.9999974397454,2.1283169075825592E-8,8.158964847277964E-7
115,199.99999730727794,2.1659852586780793E-8,8.375563373145772E-7
116,199.9999971696006,2.2039840339059195E-8,8.595961776536364E-7
117,199.9999970294126,2.242313233266207E-8,8.820193099862984E-7
118,199.9999968835949,2.280972856758931E-8,9.048290385538877E-7
119,199.99999673373497,2.3199629043840493E-8,9.280286675977282E-7
120,199.99999657809423,2.3592833761416572E-8,9.516215013591448E-7
121,199.99999641712105,2.3989342720315747E-8,9.756108440794606E-7
122,199.9999962535026,2.4389155920539605E-8,1.0000000000000002E-6
123,199.9999960825389,2.47922733620873E-8,1.0247922733620875E-6
124,199.99999590403013,2.519869504495968E-8,1.0499909684070471E-6
125,199.999995714507,2.5608420969155896E-8,1.075599389376203E-6
126,199.99999551503166,2.6021451134677008E-8,1.10162084051088E-6
127,199.9999953114105,2.6437785541520898E-8,1.128058626052401E-6
128,199.9999950994103,2.6857424189689895E-8,1.1549160502420908E-6
129,199.9999948748425,2.728036707918273E-8,1.1821964173212736E-6
130,199.99999463662925,2.7706614209999823E-8,1.2099030315312734E-6
131,199.9999943875415,2.8136165582141602E-8,1.238039197113415E-6
132,199.9999941328661,2.8569021195606582E-8,1.2666082183090216E-6
133,199.9999938701404,2.9005181050396246E-8,1.2956133993594178E-6
134,199.99999359445712,2.9444645146509958E-8,1.3250580445059278E-6
135,199.99999330102713,2.988741348394772E-8,1.3549454579898755E-6
136,199.99999300410974,3.03334860627108E-8,1.3852789440525863E-6
137,199.99999269603666,3.0782862882796234E-8,1.4160618069353825E-6
138,199.99999237617163,3.1235543944206565E-8,1.447297350879589E-6
139,199.99999204421192,3.169152924694137E-8,1.4789888801265305E-6
140,199.99999169994524,3.2150818790999795E-8,1.5111396989175303E-6
141,199.99999134484958,3.261341257638312E-8,1.5437531114939134E-6
142,199.9999909678051,3.307931060309049E-8,1.5768324220970039E-6
143,199.99999057302162,3.3548512871121275E-8,1.6103809349681251E-6
144,199.99999016585085,3.4021019380476744E-8,1.6444019543486019E-6
145,199.9999897458743,3.449683013115626E-8,1.6788987844797582E-6
146,199.9999893130351,3.497594512315983E-8,1.713874729602918E-6
147,199.99998886944888,3.5458364356488714E-8,1.7493330939594067E-6
148,199.9999884055169,3.594408783113974E-8,1.7852771817905464E-6
149,199.99998791641698,3.64331155471163E-8,1.8217102973376627E-6
150,199.99998739678358,3.6925447504416486E-8,1.8586357448420792E-6
151,199.9999868520067,3.742108370304114E-8,1.8960568285451204E-6
152,199.99998629757877,3.792002414299048E-8,1.933976852688111E-6
153,199.99998571935348,3.842226882426281E-8,1.9723991215123737E-6
154,199.9999851269324,3.8927817746859616E-8,2.0113269392592333E-6
155,199.9999844953101,3.943667091078089E-8,2.050763610170014E-6
156,199.99998386231775,3.994882831602621E-8,2.0907124384860404E-6
157,199.99998321782343,4.046428996259601E-8,2.1311767284486364E-6
158,199.99998255904183,4.0983055850490276E-8,2.1721597842991267E-6
159,199.99998187858986,4.150512597970732E-8,2.213664910278834E-6
160,199.9999811797246,4.2030500350249686E-8,2.2556954106290837E-6
161,199.99998045976042,4.255917896211525E-8,2.298254589591199E-6
162,199.9999797112652,4.309116181530614E-8,2.341345751406505E-6
163,199.99997896200205,4.3626448909821495E-8,2.3849722003163266E-6
164,199.99997817357203,4.416504024565921E-8,2.4291372405619858E-6
165,199.99997735751367,4.4706935822821814E-8,2.4738441763848076E-6
166,199.999976534032,4.5252135641308894E-8,2.5190963120261165E-6
167,199.99997567484132,4.5800639701120446E-8,2.564896951727237E-6
168,199.99997481693754,4.635244800225647E-8,2.6112493997294934E-6
169,199.9999739217766,4.690756054471485E-8,2.6581569602742082E-6
170,199.9999729995752,4.7465977328498547E-8,2.7056229376027068E-6
