#t,ESS,tempDiff,temp
0,200.00000000000065,0.0,0.0
1,199.99999999999986,5.507068873606161E-13,5.507068873606161E-13
2,199.99999999999986,3.854948211524313E-12,4.405655098884929E-12
3,200.0,1.0463430859851705E-11,1.4869085958736633E-11
4,200.00000000000023,2.03761548323428E-11,3.524524079107943E-11
5,199.99999999999974,3.3593120128997584E-11,6.883836092007702E-11
6,199.9999999999996,5.011432674981605E-11,1.1895268766989307E-10
7,199.99999999999997,6.993977469479824E-11,1.888924623646913E-10
8,199.99999999999912,9.306946396394415E-11,2.8196192632863546E-10
9,199.99999999999878,1.1950339455725367E-10,4.0146532088588913E-10
10,199.99999999999767,1.49241566474727E-10,5.507068873606161E-10
11,199.999999999996,1.8228397971636386E-10,7.3299086707698E-10
12,199.99999999999312,2.1863063428216453E-10,9.516215013591445E-10
13,199.99999999998852,2.582815301721293E-10,1.2099030315312738E-9
14,199.99999999998238,3.0123666738625665E-10,1.5111396989175305E-9
15,199.99999999997326,3.4749604592454923E-10,1.8586357448420797E-9
16,199.99999999996078,3.9705966578700396E-10,2.2556954106290837E-9
17,199.99999999994364,4.4992752697362394E-10,2.7056229376027076E-9
18,199.9999999999208,5.060996294844054E-10,3.211722567087113E-9
19,199.99999999989012,5.655759733193534E-10,3.7772985404064665E-9
20,199.99999999985016,6.283565584784625E-10,4.405655098884929E-9
21,199.9999999998,6.944413849617377E-10,5.100096483846667E-9
22,199.99999999973602,7.638304527691732E-10,5.86392693661584E-9
23,199.9999999996559,8.365237619007772E-10,6.700450698516617E-9
24,199.99999999955602,9.12521312356539E-10,7.612972010873156E-9
25,199.9999999994343,9.91823104136472E-10,8.604795115009628E-9
26,199.99999999928434,1.0744291372405626E-9,9.67922425225019E-9
27,199.99999999910085,1.1603394116688144E-9,1.0839563663919005E-8
28,199.9999999988804,1.2495539274212388E-9,1.2089117591340244E-8
29,199.99999999861654,1.3420726844978244E-9,1.3431190275838068E-8
30,199.99999999830357,1.4378956828985694E-9,1.4869085958736638E-8
31,199.99999999792922,1.537022922623474E-9,1.6406108881360112E-8
32,199.99999999748454,1.6394544036725578E-9,1.804556328503267E-8
33,199.99999999697036,1.7451901260457928E-9,1.9790753411078462E-8
34,199.99999999637149,1.8542300897431988E-9,2.164498350082166E-8
35,199.99999999568269,1.9665742947647494E-9,2.361155779558641E-8
36,199.99999999489688,2.082222741110494E-9,2.5693780536696905E-8
37,199.99999999398955,2.2011754287803836E-9,2.7894955965477288E-8
38,199.9999999929374,2.323432357774444E-9,3.021838832325173E-8
39,199.9999999917164,2.448993528092649E-9,3.266738185134438E-8
40,199.99999999031834,2.5778589397350514E-9,3.524524079107943E-8
41,199.99999998875484,2.710028592701595E-9,3.795526938378103E-8
42,199.9999999869746,2.8455024869923066E-9,4.0800771870773334E-8
43,199.99999998496344,2.984280622607166E-9,4.37850524933805E-8
44,199.99999998271716,3.1263629995462195E-9,4.691141549292672E-8
45,199.99999998021454,3.2717496178094276E-9,5.018316511073615E-8
46,199.9999999773985,3.42044047739679E-9,5.360360558813294E-8
47,199.99999997431073,3.5724355783083005E-9,5.717604116644124E-8
48,199.99999997088554,3.727734920544012E-9,6.090377608698525E-8
49,199.9999999670924,3.886338504103858E-9,6.479011459108911E-8
50,199.9999999629079,4.0482463289879176E-9,6.883836092007703E-8
51,199.99999995822702,4.213458395196053E-9,7.305181931527308E-8
52,199.99999995313428,4.381974702728448E-9,7.743379401800153E-8
53,199.99999994750968,4.5537952515849184E-9,8.198758926958644E-8
54,199.99999994134092,4.728920041765596E-9,8.671650931135204E-8
55,199.9999999346149,4.907349073270482E-9,9.162385838462252E-8
56,199.99999992725668,5.089082346099429E-9,9.671294073072195E-8
57,199.99999991923568,5.274119860252597E-9,1.0198706059097455E-7
58,199.99999991038655,5.4624616157299985E-9,1.0744952220670455E-7
59,199.99999990076725,5.654107612531422E-9,1.1310362981923597E-7
60,199.99999989050397,5.849057850657133E-9,1.189526876698931E-7
61,199.99999987939765,6.047312330106919E-9,1.2500000000000002E-7
62,199.99999986746442,6.2488710508808726E-9,1.312488710508809E-7
63,199.9999998545683,6.453734012979113E-9,1.3770260506386E-7
64,199.9999998407061,6.661901216401349E-9,1.4436450628026136E-7
65,199.999999825694,6.873372661147819E-9,1.5123787894140917E-7
66,199.9999998094923,7.088148347218523E-9,1.583260272886277E-7
67,199.99999979210793,7.3062282746132755E-9,1.6563225556324097E-7
68,199.99999977373065,7.527612443332315E-9,1.731598680065733E-7
69,199.99999975452005,7.75230085337535E-9,1.8091216885994864E-7
70,199.9999997338005,7.980293504742645E-9,1.8889246236469128E-7
71,199.99999971152843,8.211590397434201E-9,1.9710405276212548E-7
72,199.99999968773568,8.446191531449752E-9,2.0555024429357524E-7
73,199.99999966233395,8.684096906789511E-9,2.1423434120036475E-7
74,199.999999635776,8.925306523453557E-9,2.231596477238183E-7
75,199.9999996074758,9.169820381441598E-9,2.323294681052599E-7
76,199.99999957668805,9.417638480753953E-9,2.4174710658601386E-7
77,199.99999954389355,9.668760821390304E-9,2.5141586740740416E-7
78,199.9999995095449,9.923187403350888E-9,2.6133905481075505E-7
79,199.9999994734814,1.0180918226635786E-8,2.7151997303739083E-7
80,199.9999994347258,1.0441953291244626E-8,2.8196192632863546E-7
81,199.99999939315595,1.0706292597177674E-8,2.9266821892581313E-7
82,199.99999934858462,1.0973936144435088E-8,3.036421550702482E-7
83,199.99999930165697,1.1244883933016339E-8,3.1488703900326456E-7
84,199.99999925187376,1.1519135962922115E-8,3.264061749661867E-7
85,199.99999919945006,1.1796692234151674E-8,3.3820286720033835E-7
86,199.99999914377395,1.2077552746705654E-8,3.50280419947044E-7
87,199.99999908488306,1.236171750058384E-8,3.6264213744762784E-7
88,199.99999902377922,1.2649186495785916E-8,3.7529132394341376E-7
89,199.99999895983527,1.2939959732312359E-8,3.882312836757261E-7
90,199.99999889371267,1.3234037210163062E-8,4.014653208858892E-7
91,199.99999882518281,1.3531418929337602E-8,4.149967398152268E-7
92,199.9999987544094,1.383210488983672E-8,4.288288447050635E-7
93,199.99999867957925,1.4136095091659568E-8,4.4296493979672307E-7
94,199.9999986006832,1.4443389534806836E-8,4.574083293315299E-7
95,199.99999851782218,1.4753988219278365E-8,4.7216231755080827E-7
96,199.9999984304214,1.506789114507373E-8,4.87230208695882E-7
97,199.99999833791455,1.5385098312193514E-8,5.026153070080755E-7
98,199.99999824078557,1.5705609720637347E-8,5.183209167287129E-7
99,199.9999981375818,1.6029425370405758E-8,5.343503420991186E-7
100,199.99999802731418,1.6356545261497582E-8,5.507068873606162E-7
101,199.99999791112987,1.6686969393913985E-8,5.673938567545302E-7
102,199.9999977899323,1.7020697767654436E-8,5.844145545221846E-7
103,199.99999766555123,1.7357730382719147E-8,6.017722849049038E-7
104,199.9999975378291,1.7698067239108437E-8,6.194703521440122E-7
105,199.99999740303687,1.804170833682114E-8,6.375120604808333E-7
106,199.9999972592902,1.8388653675858208E-8,6.559007141566916E-7
107,199.9999971088659,1.8738903256219643E-8,6.746396174129112E-7
108,199.99999695423335,1.9092457077905127E-8,6.937320744908163E-7
109,199.999996791006,1.9449315140914766E-8,7.131813896317311E-7
110,199.99999662394157,1.9809477445249088E-8,7.329908670769802E-7
111,199.99999645210156,2.0172943990906612E-8,7.531638110678868E-7
112,199.9999962747747,2.053971477788882E-8,7.737035258457756E-7
113,199.9999960909285,2.090978980619518E-8,7.946133156519708E-7
114,199.99999589767089,2.1283169075825592E-8,8.158964847277964E-7
115,199.99999569803356,2.1659852586780793E-8,8.375563373145772E-7
116,199.99999549105684,2.2039840339059195E-8,8.595961776536364E-7
117,199.99999527870474,2.242313233266207E-8,8.820193099862984E-7
118,199.99999506192208,2.280972856758931E-8,9.048290385538877E-7
119,199.99999483546523,2.3199629043840493E-8,9.280286675977282E-7
120,199.99999459840805,2.3592833761416572E-8,9.516215013591448E-7
121,199.999994351181,2.3989342720315747E-8,9.756108440794606E-7
122,199.9999940918507,2.4389155920539605E-8,1.0000000000000002E-6
123,199.9999938232927,2.47922733620873E-8,1.0247922733620875E-6
124,199.9999935448456,2.519869504495968E-8,1.0499909684070471E-6
125,199.9999932627787,2.5608420969155896E-8,1.075599389376203E-6
126,199.99999296279483,2.6021451134677008E-8,1.10162084051088E-6
127,199.99999265030303,2.6437785541520898E-8,1.128058626052401E-6
128,199.99999232572804,2.6857424189689895E-8,1.1549160502420908E-6
129,199.99999198895514,2.728036707918273E-8,1.1821964173212736E-6
130,199.99999164081325,2.7706614209999823E-8,1.2099030315312734E-6
131,199.99999128023342,2.8136165582141602E-8,1.238039197113415E-6
132,199.99999090515388,2.8569021195606582E-8,1.2666082183090216E-6
133,199.9999905112992,2.9005181050396246E-8,1.2956133993594178E-6
134,199.99999011328185,2.9444645146509958E-8,1.3250580445059278E-6
135,199.99998970501247,2.988741348394772E-8,1.3549454579898755E-6
136,199.9999892805935,3.03334860627108E-8,1.3852789440525863E-6
137,199.9999888417172,3.0782862882796234E-8,1.4160618069353825E-6
138,199.99998839313236,3.1235543944206565E-8,1.447297350879589E-6
139,199.99998791924133,3.169152924694137E-8,1.4789888801265305E-6
140,199.99998742963479,3.2150818790999795E-8,1.5111396989175303E-6
141,199.99998691997368,3.261341257638312E-8,1.5437531114939134E-6
142,199.9999863871782,3.307931060309049E-8,1.5768324220970039E-6
143,199.99998583129587,3.3548512871121275E-8,1.6103809349681251E-6
144,199.99998526167596,3.4021019380476744E-8,1.6444019543486019E-6
145,199.9999846664344,3.449683013115626E-8,1.6788987844797582E-6
146,199.99998404691377,3.497594512315983E-8,1.713874729602918E-6
147,199.9999834062887,3.5458364356488714E-8,1.7493330939594067E-6
148,199.99998273663883,3.594408783113974E-8,1.7852771817905464E-6
149,199.99998203602638,3.64331155471163E-8,1.8217102973376627E-6
150,199.9999813057239,3.6925447504416486E-8,1.8586357448420792E-6
151,199.9999805500356,3.742108370304114E-8,1.8960568285451204E-6
152,199.9999797518016,3.792002414299048E-8,1.933976852688111E-6
153,199.99997892092773,3.842226882426281E-8,1.9723991215123737E-6
154,199.99997807934236,3.8927817746859616E-8,2.0113269392592333E-6
155,199.9999772262056,3.943667091078089E-8,2.050763610170014E-6
156,199.99997635332502,3.994882831602621E-8,2.0907124384860404E-6
157,199.99997545832935,4.046428996259601E-8,2.1311767284486364E-6
158,199.99997453258624,4.0983055850490276E-8,2.1721597842991267E-6
159,199.99997357113213,4.150512597970732E-8,2.213664910278834E-6
160,199.99997257274768,4.2030500350249686E-8,2.2556954106290837E-6
161,199.99997153690487,4.255917896211525E-8,2.298254589591199E-6
162,199.9999704744635,4.309116181530614E-8,2.341345751406505E-6
163,199.99996937699805,4.3626448909821495E-8,2.3849722003163266E-6
164,199.99996821815674,4.416504024565921E-8,2.4291372405619858E-6
165,199.9999670452875,4.4706935822821814E-8,2.4738441763848076E-6
166,199.9999658424136,4.5252135641308894E-8,2.5190963120261165E-6
167,199.9999645914626,4.5800639701120446E-8,2.564896951727237E-6
168,199.99996330785103,4.635244800225647E-8,2.6112493997294934E-6
169,199.9999620072413,4.690756054471485E-8,2.6581569602742082E-6
170,199.99996069844082,4.7465977328498547E-8,2.7056229376027068E-6
171,199.99995932570934,4.8027698353606717E-8,2.7536506359563135E-6
172,199.99995789680125,4.859272362003851E-8,2.802243359576352E-6
173,199.99995641158614,4.9161053127794355E-8,2.8514044127041464E-6
174,199.99995488423738,4.9732686876876365E-8,2.9011370995810227E-6
175,199.99995329772136,5.030762486727946E-8,2.951444724448302E-6
176,199.99995166469697,5.088586709900787E-8,3.00233059154731E-6
177,199.99994996668187,5.146741357206076E-8,3.053798005119371E-6
178,199.9999482063025,5.2052264286438114E-8,3.105850269405809E-6
179,199.99994643290017,5.2640419242139944E-8,3.158490688647949E-6
180,199.99994463019365,5.323187843916455E-8,3.2117225670871134E-6
181,199.99994277498516,5.382664187751363E-8,3.265549208964627E-6
182,199.99994086538882,5.442470955718718E-8,3.3199739185218142E-6
183,199.99993892449936,5.5026081478185206E-8,3.3749999999999995E-6
184,199.99993690276258,5.563075764050855E-8,3.430630757640508E-6
185,199.99993485186977,5.62387380441534E-8,3.4868694956846614E-6
186,199.99993271541712,5.6850022689123146E-8,3.5437195183737845E-6
187,199.9999305377607,5.746461157541821E-8,3.6011841299492028E-6
188,199.99992829214693,5.808250470303648E-8,3.6592666346522392E-6
189,199.9999259773464,5.870370207197922E-8,3.7179703367242185E-6
190,199.9999236184856,5.93282036822477E-8,3.777298540406466E-6
191,199.99992116351768,5.995600953383769E-8,3.837254549940304E-6
192,199.99991861665293,6.058711962675215E-8,3.897841669567056E-6
193,199.99991600654462,6.122153396099235E-8,3.959063203528048E-6
194,199.99991330361843,6.185925253655576E-8,4.020922456064604E-6
195,199.99991052635477,6.250027535344321E-8,4.083422731418047E-6
196,199.99990764497406,6.314460241165556E-8,4.146567333829703E-6
197,199.99990467463812,6.379223371119111E-8,4.210359567540894E-6
198,199.99990162613298,6.444316925205495E-8,4.274802736792949E-6
199,199.99989851368312,6.509740903423606E-8,4.339900145827185E-6
200,199.99989530650993,6.57549530577446E-8,4.40565509888493E-6
201,199.99989201877483,6.64158013225772E-8,4.472070900207507E-6
202,199.9998886361253,6.707995382873468E-8,4.5391508540362415E-6
203,199.9998851310257,6.774741057621537E-8,4.606898264612457E-6
204,199.99988149379539,6.841817156502011E-8,4.675316436177477E-6
205,199.99987774943975,6.909223679514975E-8,4.744408672972627E-6
206,199.9998738951069,6.976960626660343E-8,4.81417827923923E-6
207,199.99986991505457,7.045027997938201E-8,4.884628559218612E-6
208,199.99986592299112,7.113425793348548E-8,4.955762817152098E-6
209,199.99986185314592,7.182154012890962E-8,5.027584357281007E-6
210,199.99985760369495,7.25121265656595E-8,5.100096483846667E-6
211,199.99985318457752,7.320601724373342E-8,5.1733025010904E-6
212,199.99984867386667,7.390321216313224E-8,5.247205713253532E-6
213,199.99984409388156,7.460371132385511E-8,5.3218094245773875E-6
214,199.99983945454122,7.530751472590203E-8,5.3971169393032896E-6
215,199.99983472692907,7.6014622369273E-8,5.4731315616725626E-6
216,199.99982976747856,7.672503425396802E-8,5.549856595926531E-6
217,199.99982472641992,7.743875037998708E-8,5.627295346306518E-6
218,199.99981952739242,7.815577074733104E-8,5.705451117053849E-6
219,199.999814201349,7.887609535600244E-8,5.784327212409851E-6
220,199.99980877619194,7.959972420599026E-8,5.863926936615841E-6
221,199.99980327121278,8.032665729730637E-8,5.944253593913148E-6
222,199.9997976624384,8.105689462994652E-8,6.025310488543094E-6
