#Method,Adaptive,AdaptiveType,T,IterScale,Repeat,Metric,Value,TreeName,Time
ANNEALING,true,0,16879,100.0,0,ConsensusLogLL,-72794.9354647405,sim-1121221206.msf,4669022
ANNEALING,true,0,16879,100.0,0,BestSampledLogLL,-72845.1964065845,sim-1121221206.msf,4669022
ANNEALING,true,0,16879,100.0,0,PartitionMetric,0.0,sim-1121221206.msf,4669022
ANNEALING,true,0,16879,100.0,0,RobinsonFouldsMetric,0.8026500758316502,sim-1121221206.msf,4669022
ANNEALING,true,0,16879,100.0,0,KuhnerFelsenstein,0.012668544931847998,sim-1121221206.msf,4669022
ANNEALING,false,0,16879,100.0,0,ConsensusLogLL,-72816.25784296486,sim-1121221206.msf,4700947
ANNEALING,false,0,16879,100.0,0,BestSampledLogLL,-72840.2685178271,sim-1121221206.msf,4700947
ANNEALING,false,0,16879,100.0,0,PartitionMetric,0.0,sim-1121221206.msf,4700947
ANNEALING,false,0,16879,100.0,0,RobinsonFouldsMetric,1.0780250617906828,sim-1121221206.msf,4700947
ANNEALING,false,0,16879,100.0,0,KuhnerFelsenstein,0.021651443411376647,sim-1121221206.msf,4700947
MCMC,,,,1687900.0,0,ConsensusLogLL,-73408.60461959748,sim-1121221206.msf,18259628
MCMC,,,,1687900.0,0,BestSampledLogLL,-Infinity,sim-1121221206.msf,18259628
MCMC,,,,1687900.0,0,PartitionMetric,0.0,sim-1121221206.msf,18259628
MCMC,,,,1687900.0,0,RobinsonFouldsMetric,1.4811859395453215,sim-1121221206.msf,18259628
MCMC,,,,1687900.0,0,KuhnerFelsenstein,0.18654655784289173,sim-1121221206.msf,18259628
ANNEALING,true,0,16816,100.0,1,ConsensusLogLL,-72794.54112486345,sim-1121221206.msf,4743134
ANNEALING,true,0,16816,100.0,1,BestSampledLogLL,-72829.65522583557,sim-1121221206.msf,4743134
ANNEALING,true,0,16816,100.0,1,PartitionMetric,0.0,sim-1121221206.msf,4743134
ANNEALING,true,0,16816,100.0,1,RobinsonFouldsMetric,0.7836224561831885,sim-1121221206.msf,4743134
ANNEALING,true,0,16816,100.0,1,KuhnerFelsenstein,0.012138517823139204,sim-1121221206.msf,4743134
ANNEALING,false,0,16816,100.0,1,ConsensusLogLL,-72795.1480391771,sim-1121221206.msf,4759424
ANNEALING,false,0,16816,100.0,1,BestSampledLogLL,-72831.92668307306,sim-1121221206.msf,4759424
ANNEALING,false,0,16816,100.0,1,PartitionMetric,0.0,sim-1121221206.msf,4759424
ANNEALING,false,0,16816,100.0,1,RobinsonFouldsMetric,0.7796884676897375,sim-1121221206.msf,4759424
ANNEALING,false,0,16816,100.0,1,KuhnerFelsenstein,0.011326010003269209,sim-1121221206.msf,4759424
MCMC,,,,1681600.0,1,ConsensusLogLL,-74586.71422043514,sim-1121221206.msf,18061425
MCMC,,,,1681600.0,1,BestSampledLogLL,-Infinity,sim-1121221206.msf,18061425
MCMC,,,,1681600.0,1,PartitionMetric,8.0,sim-1121221206.msf,18061425
MCMC,,,,1681600.0,1,RobinsonFouldsMetric,3.616016363784577,sim-1121221206.msf,18061425
MCMC,,,,1681600.0,1,KuhnerFelsenstein,0.7126278361884655,sim-1121221206.msf,18061425
ANNEALING,true,0,16761,100.0,2,ConsensusLogLL,-72803.97766781115,sim-1121221206.msf,4400732
ANNEALING,true,0,16761,100.0,2,BestSampledLogLL,-72836.19879531443,sim-1121221206.msf,4400732
ANNEALING,true,0,16761,100.0,2,PartitionMetric,0.0,sim-1121221206.msf,4400732
ANNEALING,true,0,16761,100.0,2,RobinsonFouldsMetric,0.9625756649174981,sim-1121221206.msf,4400732
ANNEALING,true,0,16761,100.0,2,KuhnerFelsenstein,0.018364565353908107,sim-1121221206.msf,4400732
ANNEALING,false,0,16761,100.0,2,ConsensusLogLL,-72801.01850774184,sim-1121221206.msf,4394335
ANNEALING,false,0,16761,100.0,2,BestSampledLogLL,-72844.61743832183,sim-1121221206.msf,4394335
ANNEALING,false,0,16761,100.0,2,PartitionMetric,0.0,sim-1121221206.msf,4394335
ANNEALING,false,0,16761,100.0,2,RobinsonFouldsMetric,0.8779664741164058,sim-1121221206.msf,4394335
ANNEALING,false,0,16761,100.0,2,KuhnerFelsenstein,0.015365136413742606,sim-1121221206.msf,4394335
MCMC,,,,1676100.0,2,ConsensusLogLL,-74402.96437870995,sim-1121221206.msf,17964629
MCMC,,,,1676100.0,2,BestSampledLogLL,-Infinity,sim-1121221206.msf,17964629
MCMC,,,,1676100.0,2,PartitionMetric,0.0,sim-1121221206.msf,17964629
MCMC,,,,1676100.0,2,RobinsonFouldsMetric,2.7994610055009717,sim-1121221206.msf,17964629
MCMC,,,,1676100.0,2,KuhnerFelsenstein,0.6706917752055793,sim-1121221206.msf,17964629

