#t,ESS,tempDiff,temp
0,200.00000000000065,0.0,0.0
1,199.9997999999997,1.0086531689982853E-5,1.0086531689982853E-5
2,199.99920453876564,1.0038522867268477E-5,2.012505455725133E-5
3,199.99821714875688,9.895048115049582E-6,3.0020102672300912E-5
4,199.99684830462945,9.777181574963762E-6,3.9797284247264674E-5
5,199.99509869807886,9.736105033649185E-6,4.953338928091386E-5
6,199.99297802257743,9.693335244876757E-6,5.922672452579062E-5
7,199.99048938088737,9.72068728937102E-6,6.894741181516165E-5
8,199.98762568259784,9.836068227774564E-6,7.878348004293621E-5
9,199.98442820243653,9.799570513275877E-6,8.858305055621209E-5
10,199.98086713890874,1.01005535470972E-5,9.868360410330929E-5
11,199.97692456931793,9.97811247315961E-6,1.086617165764689E-4
12,199.9726656639634,1.0033991032921414E-5,1.1869570760939031E-4
13,199.96809142328837,1.000147417611534E-5,1.2869718178550567E-4
14,199.9631865770457,9.907526520095317E-6,1.3860470830560098E-4
15,199.9579679781817,9.754338509623547E-6,1.4835904681522453E-4
16,199.9524121664226,9.73884986905343E-6,1.5809789668427796E-4
17,199.9465505806962,9.667603040008202E-6,1.6776549972428615E-4
18,199.94043591202373,9.762145149695117E-6,1.7752764487398128E-4
19,199.93402726161486,9.88220609640453E-6,1.874098509703858E-4
20,199.92727760530477,9.755824881608564E-6,1.9716567585199436E-4
21,199.92030751336543,9.76914987110651E-6,2.0693482572310088E-4
22,199.91296597996714,9.784519307838642E-6,2.167193450309395E-4
23,199.90546194297238,9.843442364188056E-6,2.2656278739512756E-4
24,199.89768536809464,9.7582545478124E-6,2.3632104194293996E-4
25,199.8896309255047,9.5318567011354E-6,2.4585289864407535E-4
26,199.88131629451638,9.502405791860817E-6,2.553553044359362E-4
27,199.8727372230027,9.436967537024263E-6,2.6479227197296045E-4
28,199.86392839871615,9.258873859776195E-6,2.7405114583273666E-4
29,199.85477759173588,9.352537535122761E-6,2.834036833678594E-4
30,199.84526671725678,9.511059857676442E-6,2.929147432255359E-4
31,199.83544658637035,9.646978023199142E-6,3.02561721248735E-4
32,199.82545777477878,9.615706502782838E-6,3.1217742775151787E-4
33,199.81536434384572,9.623124832693018E-6,3.218005525842109E-4
34,199.80505772550333,9.653333234777487E-6,3.3145388581898836E-4
35,199.79444853146884,9.645420099932892E-6,3.4109930591892125E-4
36,199.78346188535255,9.501460860539309E-6,3.506007667794606E-4
37,199.77209953763034,9.530940793481478E-6,3.6013170757294205E-4
38,199.76054251469793,9.468772431335225E-6,3.6960048000427725E-4
39,199.74867756276126,9.311536755811635E-6,3.789120167600889E-4
40,199.73644731666755,9.343157156508749E-6,3.8825517391659765E-4
41,199.72387632799555,9.370908559696306E-6,3.9762608247629396E-4
42,199.71103061972963,9.419421186127388E-6,4.0704550366242137E-4
43,199.69783144460922,9.396902003836004E-6,4.1644240566625736E-4
44,199.68440844186716,9.503568570852948E-6,4.259459742371103E-4
45,199.670843510301,9.658510271335634E-6,4.356044845084459E-4
46,199.65700772585575,9.583750764550332E-6,4.4518823527299624E-4
47,199.6427916722025,9.564725250287777E-6,4.54752960523284E-4
48,199.6283769093365,9.41933188955554E-6,4.6417229241283955E-4
49,199.6137279714012,9.451233392741387E-6,4.7362352580558093E-4
50,199.59891689565964,9.697537407586003E-6,4.8332106321316695E-4
51,199.5839797257124,9.855991821811508E-6,4.931770550349784E-4
52,199.56888408389682,9.811562660240805E-6,5.029886176952192E-4
53,199.55350651527058,9.689888481049312E-6,5.126785061762685E-4
54,199.5378197091062,9.678804483388154E-6,5.223573106596566E-4
55,199.52186418029845,9.741738968010409E-6,5.320990496276671E-4
56,199.50572278125497,9.592378117053441E-6,5.416914277447205E-4
57,199.48931761788265,9.375848365271736E-6,5.510672761099922E-4
58,199.47262496608167,9.30095625365332E-6,5.603682323636456E-4
59,199.45584490627655,9.399250089208534E-6,5.697674824528541E-4
60,199.43850519123424,9.223037558709023E-6,5.789905200115631E-4
